epoch,loss_total,loss_style_swd,loss_content_ssm,learning_rate,epoch_time
15,0.200747,0.003323,0.197424,9.46e-05,0.00
16,0.203921,0.003594,0.200327,9.39e-05,0.00
17,0.206461,0.003515,0.202946,9.31e-05,0.00
18,0.201099,0.003042,0.198057,9.23e-05,0.00
19,0.202838,0.003456,0.199383,9.14e-05,0.00
20,0.204313,0.003519,0.200794,9.05e-05,0.00
21,0.202646,0.003236,0.199410,8.96e-05,0.00
22,0.199975,0.003161,0.196814,8.86e-05,0.00
23,0.207890,0.003873,0.204017,8.76e-05,0.00
24,0.202316,0.003836,0.198480,8.66e-05,0.00
25,0.203105,0.003191,0.199915,8.55e-05,0.00
26,0.200469,0.003156,0.197313,8.44e-05,0.00
27,0.202000,0.003525,0.198476,8.32e-05,0.00
28,0.204032,0.003797,0.200234,8.21e-05,0.00
29,0.204365,0.003352,0.201013,8.08e-05,0.00
30,0.202404,0.003305,0.199099,7.96e-05,0.00
31,0.199177,0.003203,0.195974,7.83e-05,0.00
32,0.201296,0.004198,0.197098,7.70e-05,0.00
33,0.200937,0.003946,0.196991,7.57e-05,0.00
34,0.201770,0.003543,0.198227,7.43e-05,0.00
35,0.200209,0.003366,0.196843,7.30e-05,0.00
36,0.200948,0.003308,0.197640,7.16e-05,0.00
37,0.201817,0.003198,0.198619,7.02e-05,0.00
38,0.201651,0.004002,0.197649,6.87e-05,0.00
39,0.200912,0.003710,0.197202,6.73e-05,0.00
40,0.200186,0.003403,0.196784,6.58e-05,0.00
41,0.198796,0.003146,0.195651,6.43e-05,0.00
42,0.199405,0.003225,0.196179,6.28e-05,0.00
43,0.200290,0.003758,0.196532,6.13e-05,0.00
44,0.197749,0.003251,0.194497,5.98e-05,0.00
45,0.199738,0.003512,0.196226,5.82e-05,0.00
46,0.198753,0.003566,0.195187,5.67e-05,0.00
47,0.202218,0.003854,0.198364,5.52e-05,0.00
48,0.199342,0.003170,0.196172,5.36e-05,0.00
49,0.196956,0.003387,0.193569,5.21e-05,0.00
50,0.199143,0.003364,0.195779,5.05e-05,0.00
51,0.201958,0.003203,0.198755,4.89e-05,0.00
52,0.197914,0.003150,0.194764,4.74e-05,0.00
53,0.198277,0.002969,0.195309,4.58e-05,0.00
54,0.198889,0.003180,0.195709,4.43e-05,0.00
55,0.195981,0.003130,0.192851,4.28e-05,0.00
56,0.198711,0.003268,0.195443,4.12e-05,0.00
57,0.196011,0.003303,0.192708,3.97e-05,0.00
58,0.198695,0.003242,0.195453,3.82e-05,0.00
59,0.196601,0.003045,0.193557,3.67e-05,0.00
60,0.196795,0.003150,0.193644,3.52e-05,0.00
61,0.198243,0.003383,0.194860,3.37e-05,0.00
62,0.200220,0.003171,0.197049,3.23e-05,0.00
63,0.198839,0.003175,0.195663,3.08e-05,0.00
64,0.197706,0.003189,0.194517,2.94e-05,0.00
65,0.198078,0.003135,0.194943,2.80e-05,0.00
66,0.199869,0.003435,0.196433,2.67e-05,0.00
67,0.195840,0.003106,0.192734,2.53e-05,0.00
68,0.197793,0.003176,0.194617,2.40e-05,0.00
69,0.197961,0.003413,0.194548,2.27e-05,0.00
70,0.199583,0.003392,0.196191,2.14e-05,0.00
71,0.198822,0.003100,0.195722,2.02e-05,0.00
72,0.195158,0.003101,0.192057,1.89e-05,0.00
73,0.196089,0.003222,0.192866,1.78e-05,0.00
74,0.197103,0.003211,0.193892,1.66e-05,0.00
75,0.196819,0.003011,0.193809,1.55e-05,0.00
76,0.196015,0.002993,0.193021,1.44e-05,0.00
77,0.196998,0.003073,0.193924,1.34e-05,0.00
78,0.194185,0.002914,0.191272,1.24e-05,0.00
79,0.198128,0.003107,0.195021,1.14e-05,0.00
80,0.196935,0.003073,0.193862,1.05e-05,0.00
81,0.199909,0.003182,0.196727,9.56e-06,0.00
82,0.199085,0.002995,0.196091,8.71e-06,0.00
83,0.197161,0.003087,0.194075,7.89e-06,0.00
84,0.199531,0.003092,0.196439,7.12e-06,0.00
85,0.193988,0.002770,0.191218,6.40e-06,0.00
86,0.197269,0.003022,0.194246,5.71e-06,0.00
87,0.195885,0.002978,0.192907,5.07e-06,0.00
88,0.196070,0.002939,0.193132,4.48e-06,0.00
89,0.193823,0.003057,0.190766,3.93e-06,0.00
90,0.199981,0.003164,0.196817,3.42e-06,0.00
91,0.195252,0.002970,0.192282,2.97e-06,0.00
92,0.195727,0.002890,0.192837,2.56e-06,0.00
93,0.195140,0.002971,0.192169,2.19e-06,0.00
94,0.195975,0.003042,0.192933,1.88e-06,0.00
95,0.196678,0.003174,0.193504,1.61e-06,0.00
96,0.194035,0.003048,0.190987,1.39e-06,0.00
97,0.196451,0.003001,0.193449,1.22e-06,0.00
98,0.196951,0.002978,0.193973,1.10e-06,0.00
99,0.194453,0.002847,0.191606,1.02e-06,0.00
100,0.196391,0.002892,0.193500,1.00e-06,0.00
101,0.193306,0.002909,0.190397,1.02e-06,0.00
102,0.197119,0.003080,0.194038,1.10e-06,0.00
103,0.194068,0.002958,0.191110,1.22e-06,0.00
104,0.195734,0.003036,0.192697,1.39e-06,0.00
105,0.195793,0.002924,0.192869,1.61e-06,0.00
106,0.196159,0.002997,0.193162,1.88e-06,0.00
107,0.194994,0.002941,0.192053,2.19e-06,0.00
108,0.196215,0.002951,0.193264,2.56e-06,0.00
109,0.195747,0.002994,0.192753,2.97e-06,0.00
110,0.197181,0.002922,0.194259,3.42e-06,0.00
111,0.195700,0.002955,0.192745,3.93e-06,0.00
112,0.193430,0.003016,0.190414,4.48e-06,0.00
113,0.195016,0.002958,0.192058,5.07e-06,0.00
114,0.195142,0.002887,0.192255,5.71e-06,0.00
115,0.195365,0.002845,0.192520,6.40e-06,0.00
116,0.196235,0.003183,0.193051,7.12e-06,0.00
117,0.194834,0.003035,0.191799,7.89e-06,0.00
118,0.194703,0.003017,0.191686,8.71e-06,0.00
119,0.196196,0.002960,0.193236,9.56e-06,0.00
120,0.199994,0.003126,0.196868,1.05e-05,0.00
121,0.196500,0.002908,0.193592,1.14e-05,0.00
122,0.198888,0.003196,0.195692,1.24e-05,0.00
123,0.196956,0.003090,0.193865,1.34e-05,0.00
124,0.196113,0.003008,0.193106,1.44e-05,0.00
125,0.197923,0.003274,0.194649,1.55e-05,0.00
126,0.194089,0.003144,0.190945,1.66e-05,0.00
127,0.196507,0.003174,0.193333,1.78e-05,0.00
128,0.195429,0.003079,0.192350,1.89e-05,0.00
129,0.198187,0.003140,0.195047,2.02e-05,0.00
130,0.194899,0.003160,0.191739,2.14e-05,0.00
131,0.197921,0.003154,0.194767,2.27e-05,0.00
132,0.195354,0.003070,0.192284,2.40e-05,0.00
133,0.197812,0.003402,0.194410,2.53e-05,0.00
134,0.192899,0.003258,0.189641,2.67e-05,0.00
135,0.195695,0.003245,0.192450,2.80e-05,0.00
136,0.195757,0.003497,0.192260,2.94e-05,0.00
137,0.198847,0.003671,0.195176,3.08e-05,0.00
138,0.195399,0.003282,0.192117,3.23e-05,0.00
139,0.199972,0.003467,0.196504,3.37e-05,0.00
140,0.195394,0.003219,0.192175,3.52e-05,0.00
141,0.198774,0.003623,0.195151,3.67e-05,0.00
142,0.195303,0.003290,0.192013,3.82e-05,0.00
143,0.193268,0.003169,0.190099,3.97e-05,0.00
144,0.196082,0.003415,0.192667,4.12e-05,0.00
145,0.195335,0.003229,0.192106,4.28e-05,0.00
146,0.197957,0.003725,0.194232,4.43e-05,0.00
147,0.193834,0.003397,0.190437,4.58e-05,0.00
148,0.194978,0.003416,0.191561,4.74e-05,0.00
149,0.196955,0.003644,0.193311,4.89e-05,0.00
150,0.198153,0.003472,0.194681,5.05e-05,0.00
151,0.196248,0.003430,0.192818,5.21e-05,0.00
152,0.196783,0.003364,0.193420,5.36e-05,0.00
153,0.195546,0.003173,0.192373,5.52e-05,0.00
154,0.196270,0.003235,0.193035,5.67e-05,0.00
155,0.193281,0.003336,0.189945,5.82e-05,0.00
156,0.194718,0.003215,0.191503,5.98e-05,0.00
157,0.197036,0.003500,0.193536,6.13e-05,0.00
158,0.195814,0.003637,0.192177,6.28e-05,0.00
159,0.194857,0.003390,0.191467,6.43e-05,0.00
160,0.196359,0.003656,0.192703,6.58e-05,0.00
161,0.196994,0.003534,0.193460,6.73e-05,0.00
162,0.197410,0.003697,0.193713,6.87e-05,0.00
163,0.195722,0.003635,0.192087,7.02e-05,0.00
164,0.198295,0.003521,0.194774,7.16e-05,0.00
165,0.196074,0.003356,0.192718,7.30e-05,0.00
166,0.195204,0.003580,0.191624,7.43e-05,0.00
167,0.195059,0.003466,0.191592,7.57e-05,0.00
168,0.193456,0.003329,0.190127,7.70e-05,0.00
169,0.197236,0.003278,0.193958,7.83e-05,0.00
170,0.195328,0.003283,0.192046,7.96e-05,0.00
171,0.198050,0.003963,0.194087,8.08e-05,0.00
172,0.198808,0.003652,0.195156,8.21e-05,0.00
173,0.195760,0.003613,0.192147,8.32e-05,0.00
174,0.195370,0.003536,0.191834,8.44e-05,0.00
175,0.194917,0.003698,0.191219,8.55e-05,0.00
176,0.194375,0.003356,0.191019,8.66e-05,0.00
177,0.197076,0.003621,0.193455,8.76e-05,0.00
178,0.192584,0.003437,0.189148,8.86e-05,0.00
179,0.194521,0.003343,0.191178,8.96e-05,0.00
180,0.195628,0.003518,0.192110,9.05e-05,0.00
181,0.193188,0.003283,0.189905,9.14e-05,0.00
182,0.196270,0.003459,0.192811,9.23e-05,0.00
183,0.194617,0.003616,0.191002,9.31e-05,0.00
184,0.192402,0.003428,0.188973,9.39e-05,0.00
185,0.196070,0.003549,0.192522,9.46e-05,0.00
186,0.196974,0.003598,0.193376,9.53e-05,0.00
187,0.195476,0.003441,0.192034,9.59e-05,0.00
188,0.192432,0.003350,0.189082,9.65e-05,0.00
189,0.195688,0.003372,0.192316,9.71e-05,0.00
190,0.191240,0.003657,0.187583,9.76e-05,0.00
191,0.192090,0.003338,0.188752,9.80e-05,0.00
192,0.196873,0.003638,0.193235,9.84e-05,0.00
193,0.194271,0.003430,0.190841,9.88e-05,0.00
194,0.194391,0.003352,0.191039,9.91e-05,0.00
195,0.192587,0.003504,0.189082,9.94e-05,0.00
196,0.194427,0.003613,0.190814,9.96e-05,0.00
197,0.190641,0.003671,0.186970,9.98e-05,0.00
198,0.195641,0.003431,0.192209,9.99e-05,0.00
199,0.192143,0.003372,0.188771,1.00e-04,0.00
200,0.192670,0.003382,0.189289,1.00e-04,0.00
201,0.192519,0.003405,0.189114,1.00e-04,0.00
202,0.193313,0.003354,0.189959,9.99e-05,0.00
203,0.195835,0.003458,0.192377,9.98e-05,0.00
204,0.192754,0.003620,0.189134,9.96e-05,0.00
205,0.194490,0.003430,0.191060,9.94e-05,0.00
206,0.193599,0.003567,0.190032,9.91e-05,0.00
207,0.192889,0.003370,0.189519,9.88e-05,0.00
208,0.193523,0.003594,0.189930,9.84e-05,0.00
209,0.193211,0.003340,0.189871,9.80e-05,0.00
210,0.193682,0.003394,0.190288,9.76e-05,0.00
211,0.192956,0.003350,0.189606,9.71e-05,0.00
212,0.195974,0.004164,0.191810,9.65e-05,0.00
213,0.195532,0.003674,0.191858,9.59e-05,0.00
214,0.193766,0.003639,0.190128,9.53e-05,0.00
215,0.191198,0.003277,0.187921,9.46e-05,0.00
216,0.191615,0.003095,0.188520,9.39e-05,0.00
217,0.192260,0.003438,0.188822,9.31e-05,0.00
218,0.191137,0.003321,0.187816,9.23e-05,0.00
219,0.192797,0.003321,0.189476,9.14e-05,0.00
220,0.191114,0.003226,0.187888,9.05e-05,0.00
221,0.192509,0.003062,0.189447,8.96e-05,0.00
222,0.192055,0.003147,0.188909,8.86e-05,0.00
223,0.191341,0.003050,0.188291,8.76e-05,0.00
224,0.190783,0.003373,0.187410,8.66e-05,0.00
225,0.194388,0.003271,0.191117,8.55e-05,0.00
226,0.191276,0.003254,0.188022,8.44e-05,0.00
227,0.191348,0.003192,0.188156,8.32e-05,0.00
228,0.192837,0.003357,0.189480,8.21e-05,0.00
229,0.191540,0.003245,0.188295,8.08e-05,0.00
230,0.188026,0.003097,0.184929,7.96e-05,0.00
231,0.191196,0.003067,0.188129,7.83e-05,0.00
232,0.190656,0.003175,0.187480,7.70e-05,0.00
233,0.195198,0.003318,0.191880,7.57e-05,0.00
234,0.190669,0.003222,0.187447,7.43e-05,0.00
235,0.190819,0.003011,0.187808,7.30e-05,0.00
236,0.191351,0.003306,0.188045,7.16e-05,0.00
237,0.193396,0.003168,0.190229,7.02e-05,0.00
238,0.190371,0.003203,0.187168,6.87e-05,0.00
239,0.191960,0.003120,0.188839,6.73e-05,0.00
240,0.190523,0.003171,0.187352,6.58e-05,0.00
241,0.191861,0.003300,0.188561,6.43e-05,0.00
242,0.191103,0.003089,0.188014,6.28e-05,0.00
243,0.191082,0.003099,0.187983,6.13e-05,0.00
244,0.192521,0.003115,0.189406,5.98e-05,0.00
245,0.192111,0.003117,0.188994,5.82e-05,0.00
246,0.192806,0.003113,0.189693,5.67e-05,0.00
247,0.191796,0.002841,0.188956,5.52e-05,0.00
248,0.190647,0.002926,0.187722,5.36e-05,0.00
249,0.190064,0.003168,0.186895,5.21e-05,0.00
250,0.188830,0.002891,0.185939,5.05e-05,0.00
251,0.185301,0.002753,0.182548,4.89e-05,0.00
252,0.190814,0.002894,0.187921,4.74e-05,0.00
253,0.191706,0.003031,0.188675,4.58e-05,0.00
254,0.191092,0.003186,0.187906,4.43e-05,0.00
255,0.189904,0.003036,0.186868,4.28e-05,0.00
256,0.191760,0.002995,0.188766,4.12e-05,0.00
257,0.190155,0.002996,0.187160,3.97e-05,0.00
258,0.190449,0.002915,0.187535,3.82e-05,0.00
259,0.187450,0.002840,0.184611,3.67e-05,0.00
260,0.191530,0.002958,0.188572,3.52e-05,0.00
261,0.189565,0.002764,0.186802,3.37e-05,0.00
262,0.188733,0.003052,0.185681,3.23e-05,0.00
263,0.190520,0.002845,0.187675,3.08e-05,0.00
264,0.190761,0.002815,0.187946,2.94e-05,0.00
265,0.189879,0.002790,0.187089,2.80e-05,0.00
266,0.191149,0.002885,0.188264,2.67e-05,0.00
267,0.191347,0.002844,0.188503,2.53e-05,0.00
268,0.188419,0.002950,0.185469,2.40e-05,0.00
269,0.188703,0.002808,0.185895,2.27e-05,0.00
270,0.187735,0.002860,0.184875,2.14e-05,0.00
271,0.187366,0.002823,0.184543,2.02e-05,0.00
272,0.192243,0.003124,0.189118,1.89e-05,0.00
273,0.191256,0.002886,0.188369,1.78e-05,0.00
274,0.188847,0.002895,0.185952,1.66e-05,0.00
275,0.191450,0.002854,0.188597,1.55e-05,0.00
276,0.189350,0.002712,0.186638,1.44e-05,0.00
277,0.187597,0.002708,0.184889,1.34e-05,0.00
278,0.189110,0.002657,0.186452,1.24e-05,0.00
279,0.187739,0.002780,0.184959,1.14e-05,0.00
280,0.190508,0.002697,0.187811,1.05e-05,0.00
281,0.187700,0.002883,0.184817,9.56e-06,0.00
282,0.186250,0.002748,0.183501,8.71e-06,0.00
283,0.188952,0.002736,0.186216,7.89e-06,0.00
284,0.188266,0.002736,0.185530,7.12e-06,0.00
285,0.186498,0.002659,0.183838,6.40e-06,0.00
286,0.189407,0.002694,0.186713,5.71e-06,0.00
287,0.190160,0.002830,0.187330,5.07e-06,0.00
288,0.187571,0.002675,0.184897,4.48e-06,0.00
289,0.190865,0.002650,0.188215,3.93e-06,0.00
290,0.188302,0.002647,0.185656,3.42e-06,0.00
291,0.191319,0.002686,0.188633,2.97e-06,0.00
292,0.190694,0.002775,0.187919,2.56e-06,0.00
293,0.189955,0.002717,0.187238,2.19e-06,0.00
294,0.188382,0.002762,0.185620,1.88e-06,0.00
295,0.189100,0.002870,0.186230,1.61e-06,0.00
296,0.185961,0.002573,0.183387,1.39e-06,0.00
297,0.190657,0.002763,0.187894,1.22e-06,0.00
298,0.189229,0.002747,0.186482,1.10e-06,0.00
299,0.188569,0.002666,0.185903,1.02e-06,0.00
300,0.188049,0.002712,0.185337,1.00e-06,0.00
