epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,loss_layout,loss_mse_raw,learning_rate,epoch_time
1,10.321724,3.869220,7.738440,2.000671,2.000671,0.568942,1.500904,3.50e-05,0.00
2,10.215642,3.865330,7.730660,2.082365,2.082365,0.379608,1.414394,5.00e-05,0.00
3,10.274246,3.866896,7.733792,2.186346,2.186346,0.323914,1.366539,6.50e-05,0.00
4,10.371029,3.869445,7.738889,2.283069,2.283069,0.306263,1.317462,8.00e-05,0.00
5,10.465210,3.874472,7.748945,2.348797,2.348797,0.298350,1.244842,9.50e-05,0.00
6,10.553606,3.881705,7.763410,2.405829,2.405829,0.287547,1.174141,1.10e-04,0.00
7,10.647894,3.888947,7.777893,2.462261,2.462261,0.285401,1.110589,1.25e-04,0.00
8,10.740504,3.895089,7.790178,2.523301,2.523301,0.280721,1.057897,1.40e-04,0.00
9,10.840884,3.899655,7.799311,2.601424,2.601424,0.275813,1.023973,1.55e-04,0.00
10,10.942973,3.901571,7.803143,2.689926,2.689926,0.272343,1.000135,1.70e-04,0.00
11,10.929701,3.902142,7.804284,2.672124,2.672124,0.270577,0.988807,1.85e-04,0.00
12,10.919999,3.902434,7.804868,2.654148,2.654148,0.273028,0.976914,2.00e-04,0.00
13,10.916144,3.901030,7.802059,2.652175,2.652175,0.272451,0.975401,2.00e-04,0.00
14,10.900052,3.901100,7.802201,2.639617,2.639617,0.265707,0.967015,2.00e-04,0.00
15,10.888618,3.899497,7.798994,2.632466,2.632466,0.262642,0.962181,2.00e-04,0.00
16,10.874125,3.899038,7.798076,2.616666,2.616666,0.261107,0.952201,2.00e-04,0.00
17,10.866496,3.899090,7.798179,2.612540,2.612540,0.256461,0.949367,2.00e-04,0.00
18,10.849218,3.898660,7.797320,2.599054,2.599054,0.250732,0.940625,2.00e-04,0.00
19,10.833547,3.898017,7.796034,2.587877,2.587877,0.245222,0.933483,2.00e-04,0.00
20,10.818389,3.897535,7.795070,2.571176,2.571176,0.243706,0.923020,2.00e-04,0.00
21,10.809610,3.895677,7.791354,2.566122,2.566122,0.241681,0.919920,2.00e-04,0.00
22,10.793426,3.896216,7.792431,2.542545,2.542545,0.242543,0.905110,2.00e-04,0.00
23,10.764967,3.895422,7.790844,2.521635,2.521635,0.232767,0.893079,2.00e-04,0.00
24,10.743816,3.894086,7.788173,2.498834,2.498834,0.232239,0.880008,2.00e-04,0.00
25,10.723569,3.892853,7.785707,2.476829,2.476829,0.231252,0.867497,2.00e-04,0.00
26,10.695834,3.893216,7.786433,2.451951,2.451951,0.223503,0.853775,2.00e-04,0.00
27,10.674255,3.893287,7.786575,2.427026,2.427026,0.221338,0.839995,2.00e-04,0.00
28,10.646085,3.892383,7.784765,2.399621,2.399621,0.217145,0.825236,2.00e-04,0.00
29,10.625997,3.891920,7.783840,2.382514,2.382514,0.212191,0.816928,2.00e-04,0.00
30,10.605579,3.891412,7.782824,2.361576,2.361576,0.210202,0.805670,2.00e-04,0.00
31,10.583468,3.890967,7.781933,2.336987,2.336987,0.208512,0.792272,1.99e-04,0.00
32,10.565151,3.889972,7.779945,2.322259,2.322259,0.204854,0.785242,1.99e-04,0.00
33,10.545583,3.890375,7.780750,2.297390,2.297390,0.204763,0.772422,1.99e-04,0.00
34,10.528533,3.890520,7.781040,2.283742,2.283742,0.199194,0.765571,1.99e-04,0.00
35,10.519655,3.890063,7.780125,2.276273,2.276273,0.196730,0.761039,1.99e-04,0.00
36,10.507990,3.890144,7.780287,2.262744,2.262744,0.196514,0.754672,1.99e-04,0.00
37,10.488244,3.889323,7.778646,2.243064,2.243064,0.194672,0.745247,1.99e-04,0.00
38,10.478735,3.888909,7.777817,2.233544,2.233544,0.193796,0.739964,1.99e-04,0.00
39,10.462084,3.889023,7.778046,2.215501,2.215501,0.191311,0.729701,1.99e-04,0.00
40,10.449383,3.888458,7.776917,2.205357,2.205357,0.187796,0.723699,1.99e-04,0.00
41,10.446496,3.888270,7.776539,2.203607,2.203607,0.186673,0.722934,1.99e-04,0.00
42,10.426832,3.888093,7.776187,2.185436,2.185436,0.182761,0.713999,1.99e-04,0.00
43,10.425495,3.887941,7.775881,2.181507,2.181507,0.185054,0.712028,1.99e-04,0.00
44,10.406497,3.888642,7.777284,2.158507,2.158507,0.183246,0.700031,1.99e-04,0.00
45,10.394512,3.886332,7.772665,2.153843,2.153843,0.179547,0.697994,1.98e-04,0.00
46,10.385788,3.887311,7.774623,2.140458,2.140458,0.179873,0.690571,1.98e-04,0.00
47,10.375462,3.886273,7.772545,2.132785,2.132785,0.177803,0.686802,1.98e-04,0.00
48,10.363038,3.887712,7.775424,2.116221,2.116221,0.176659,0.677943,1.98e-04,0.00
49,10.359489,3.886776,7.773552,2.117332,2.117332,0.174012,0.678504,1.98e-04,0.00
50,10.344217,3.886745,7.773490,2.100426,2.100426,0.172305,0.669690,1.98e-04,0.00
51,10.345757,3.886584,7.773167,2.099010,2.099010,0.175455,0.668889,1.98e-04,0.00
52,10.335722,3.885291,7.770582,2.092923,2.092923,0.172775,0.666326,1.98e-04,0.00
53,10.316678,3.884943,7.769886,2.078635,2.078635,0.166854,0.658605,1.98e-04,0.00
54,10.306903,3.886067,7.772134,2.060242,2.060242,0.169556,0.648795,1.98e-04,0.00
55,10.312815,3.885735,7.771471,2.064452,2.064452,0.172208,0.650704,1.97e-04,0.00
56,10.290291,3.885896,7.771791,2.045462,2.045462,0.165882,0.640895,1.97e-04,0.00
57,10.292146,3.886210,7.772420,2.043481,2.043481,0.168707,0.640207,1.97e-04,0.00
58,10.274660,3.885300,7.770599,2.027402,2.027402,0.166114,0.631918,1.97e-04,0.00
59,10.269500,3.884969,7.769937,2.023713,2.023713,0.164387,0.630433,1.97e-04,0.00
60,10.257674,3.884734,7.769469,2.011223,2.011223,0.163894,0.624035,1.97e-04,0.00
61,10.255954,3.884329,7.768658,2.011006,2.011006,0.162823,0.624420,1.97e-04,0.00
62,10.246255,3.884172,7.768344,1.999583,1.999583,0.162683,0.618577,1.96e-04,0.00
63,10.249589,3.883692,7.767385,2.007730,2.007730,0.160572,0.622526,1.96e-04,0.00
64,10.235195,3.883505,7.767010,1.989337,1.989337,0.160958,0.612362,1.96e-04,0.00
65,10.222466,3.884633,7.769266,1.974833,1.974833,0.159152,0.605255,1.96e-04,0.00
66,10.228566,3.883925,7.767849,1.980327,1.980327,0.161411,0.608433,1.96e-04,0.00
67,10.215107,3.884278,7.768556,1.970934,1.970934,0.155991,0.603979,1.96e-04,0.00
68,10.229199,3.884838,7.769675,1.975389,1.975389,0.164277,0.605629,1.96e-04,0.00
69,10.212158,3.883181,7.766362,1.966214,1.966214,0.158150,0.601355,1.95e-04,0.00
70,10.201322,3.882515,7.765031,1.951480,1.951480,0.160298,0.593522,1.95e-04,0.00
71,10.207446,3.883206,7.766412,1.959452,1.959452,0.159214,0.597697,1.95e-04,0.00
72,10.181560,3.884568,7.769136,1.931860,1.931860,0.154446,0.583435,1.95e-04,0.00
73,10.185624,3.882899,7.765798,1.935661,1.935661,0.157341,0.586178,1.95e-04,0.00
74,10.172124,3.883737,7.767474,1.923169,1.923169,0.154153,0.580438,1.95e-04,0.00
75,10.177958,3.883379,7.766757,1.926538,1.926538,0.157221,0.581509,1.94e-04,0.00
76,10.158842,3.883113,7.766226,1.908227,1.908227,0.153674,0.573081,1.94e-04,0.00
77,10.160489,3.883957,7.767913,1.908066,1.908066,0.154460,0.572930,1.94e-04,0.00
78,10.164802,3.883620,7.767239,1.912991,1.912991,0.155415,0.575176,1.94e-04,0.00
79,10.148161,3.882959,7.765918,1.898256,1.898256,0.152464,0.569111,1.94e-04,0.00
80,10.139678,3.882237,7.764473,1.891295,1.891295,0.150956,0.564586,1.94e-04,0.00
81,10.142552,3.883201,7.766403,1.888065,1.888065,0.154238,0.562685,1.93e-04,0.00
82,10.138169,3.882786,7.765571,1.884344,1.884344,0.153744,0.560975,1.93e-04,0.00
83,10.137142,3.883277,7.766554,1.883514,1.883514,0.152761,0.561074,1.93e-04,0.00
84,10.126593,3.882354,7.764708,1.876154,1.876154,0.150573,0.557916,1.93e-04,0.00
85,10.123616,3.882650,7.765300,1.871507,1.871507,0.150849,0.555367,1.93e-04,0.00
86,10.119733,3.882475,7.764951,1.870101,1.870101,0.148373,0.555025,1.92e-04,0.00
87,10.116703,3.882662,7.765323,1.863949,1.863949,0.150015,0.550842,1.92e-04,0.00
88,10.106996,3.881884,7.763768,1.854783,1.854783,0.149271,0.546488,1.92e-04,0.00
89,10.110234,3.881898,7.763796,1.858595,1.858595,0.150015,0.548893,1.92e-04,0.00
90,10.103513,3.881601,7.763202,1.849485,1.849485,0.150881,0.544309,1.91e-04,0.00
91,10.123072,3.881745,7.787015,1.846655,1.846655,0.149734,0.545329,1.91e-04,0.00
92,10.137627,3.881859,7.810771,1.836069,1.836069,0.149502,0.540089,1.91e-04,0.00
93,10.146980,3.881818,7.834214,1.824389,1.824389,0.147099,0.537663,1.91e-04,0.00
94,10.160648,3.880826,7.855733,1.817657,1.817657,0.145182,0.536022,1.91e-04,0.00
95,10.186986,3.881735,7.881098,1.814654,1.814654,0.148850,0.534947,1.90e-04,0.00
96,10.205926,3.881288,7.903714,1.813513,1.813513,0.146218,0.535592,1.90e-04,0.00
97,10.235642,3.881307,7.927274,1.822400,1.822400,0.145819,0.541428,1.90e-04,0.00
98,10.244214,3.881450,7.951091,1.805580,1.805580,0.145177,0.534396,1.90e-04,0.00
99,10.261285,3.879331,7.970261,1.799785,1.799785,0.147996,0.533296,1.89e-04,0.00
100,10.265366,3.881472,7.998184,1.783450,1.783450,0.139848,0.526955,1.89e-04,0.00
101,10.294712,3.880729,8.020172,1.788702,1.788702,0.142904,0.530697,1.89e-04,0.00
102,10.312790,3.879928,8.042032,1.784777,1.784777,0.142861,0.531035,1.89e-04,0.00
103,10.326725,3.879919,8.065527,1.772947,1.772947,0.143476,0.525815,1.88e-04,0.00
104,10.344619,3.878460,8.086002,1.769945,1.769945,0.143097,0.525318,1.88e-04,0.00
105,10.369711,3.880370,8.113501,1.765798,1.765798,0.145125,0.525055,1.88e-04,0.00
106,10.380340,3.879014,8.134174,1.756814,1.756814,0.142714,0.522406,1.88e-04,0.00
107,10.400109,3.880094,8.159955,1.753268,1.753268,0.141246,0.522277,1.87e-04,0.00
108,10.416172,3.879417,8.182042,1.744198,1.744198,0.142775,0.518689,1.87e-04,0.00
109,10.425730,3.878056,8.202676,1.734633,1.734633,0.140054,0.515804,1.87e-04,0.00
110,10.446486,3.878918,8.228008,1.732625,1.732625,0.138077,0.516045,1.87e-04,0.00
111,10.466260,3.878322,8.250249,1.730036,1.730036,0.137786,0.515626,1.86e-04,0.00
